Name,Interest
Айгүл,"Мен адабиятты жакшы көрөм, поэзия окуганды жакшы көрөм"
Нурбек,"Маалымат технологияларын үйрөнгүм келет, программалоо жагат"
Жазгүл,"Саясатка кызыгып, коомдук иштерге катышам"
Темир,"Python тилин үйрөнүп жатам, автоматташтырууга кызыгам"
Асан,"Тарыхка кызыгып, археология тууралуу көп окуйм"
Максат,"Кино жана сүрөт искусствосуна кызыгам, актерлор жөнүндө көп окуйм"
Канат,"Коомдук иштерге активдүү катышам, жаштар үчүн мүмкүнчүлүктөрдү издейм"
Саида,"Музыка тыңдоону жакшы көрөм, классикалык музыкада тажрыйбам бар"
Талант,"Математика жана физика жагат, жаңы концепттерди үйрөнүүгө кызыгам"
Жанна,"Атлетика жана спорт менен машыгам, ден соолукка кам көрөм"
Айдана,"Саякаттоону жакшы көрөм, жаңы жерлерди изилдөөнү көздөйм"
Арсен,"Автомобилдердин техникалык абалы жана аны оңдоо жөнүндө көп окудум"
Канышай,"Жаратылышты сүйөм, экологиялык маселелерди чечүүгө жардам берем"
Сүйүн,"Саясат жана экономика боюнча изилдөөлөрдү жүргүзүп, жаңы пикирлерди сунуштайм"
Бермет,"Кошумча билим алуу үчүн онлайн курстарга катталып, жаңы технологияларды үйрөнөм"
Эрмек,"Табигый ресурстарды сактоо жана экологиялык проблемалар боюнча маселелерди чечем"
Карина,"Өзгөчө китептерди окуп, ой жүгүртүүнү кеңейтем"
Алмаз,"IT тармагында кызыкчылыктарым бар, программалоо жана кибер коопсуздук жөнүндө көп окуйм"
Айгерим,"Жан дүйнөнү ойлондуруп, искусствону изилдегенди жакшы көрөм"
Жеңиш,"Тарыхыбызды изилдеп, улуттук баалуулуктарды сактоо боюнча иштер жүргүзөм"
Нурайым,"Поэзия жазууну үйрөнүп жатам, чыгармачылык маанай жактырат"
Самат,"Көп окуп, аналитикалык ой жүгүртүүгө үйрөнгүм келет"
Гүлнара,"Архитектурага кызыгып, кооз имараттардын түзүлүшүн изилдейм"
Бакыт,"Күнүмдүк маселелерди чечүү үчүн технологияларды колдоном"
Аделина,"Жаштар арасында билимди жайылтууга кызыгам"
Искендер,"Энергиянын кайра жаралуучу булактарына кызыгып жатам"
Сезим,"Философиялык ойлорду талдап, руханий жактан өсүүгө умтулам"
Тимур,"IT дүйнөсүндөгү жаңылыктарды күнүгө окуйм"
Мээрим,"Маданият жана искусство дүйнөсүнө кызыгам"
Эмир,"Бизнес жана каржы темаларын изилдейм"
Алина,"Жаратылышка жакын жашоо образын тандайм"
Дамир,"Технология аркылуу социалдык көйгөйлөрдү чечүүнү каалайм"
Жазира,"Китеп окуп, чыгармачылыгымды өнүктүрөм"
Руслан,"Унаа индустриясын изилдеп, жаңы моделдерге кызыгам"
Асема,"Музыкалык аспаптарда ойноп үйрөнүп жатам"
Айбек,"Санарип коопсуздуктун маселелерине кызыгып жатам"
Азамат,"Космос жана аалам боюнча видеолорду көрүп иликтейм"
Гүлнура,"Мектепте балдарга математикадан жардам берем"
Чыңгыз,"Саясий темада макалалар жазууну жактырам"
Асыл,"Фотография менен алектенем, табигый сүрөттөрдү тартам"
Дина,"Жаратылышты изилдөө жана коргоо — менин максатым"
Бегимай,"Онлайн билим берүү платформаларында сабак алам"
Улукбек,"Спорттук жетишкендиктерди мотивация катары колдоном"
Медина,"Психология темаларына кызыгып, адам жүрүм-турумун түшүнүүгө аракет кылам"
Бекзат,"Экономикалык модель түзүү жана рынок анализи жагат"
Махабат,"Тарыхый романдарды окуганды жактырам"
Элдар,"Маалыматтарды анализдөөгө кызыгып жатам"
Нурия,"Салттуу искусство менен заманбап искусствону салыштырып жатам"
Айбар,"Биология жана адам организми тууралуу окуганды жакшы көрөм"
Жазира,"Коомдук активизм жана социалдык долбоорлорго катышам"
Нурислам,"Робот техника жана жасалма интеллект багытын тандагам"
